Clave del centro de trabajo;Clave del turno;Nombre del turno;Nombre del centro de trabajo;Tipo educativo;Nivel educativo;Servicio educativo;Nombre del control (Público o Privado);Tipo de sostenimiento;Clave de la entidad federativa;Nombre de la entidad;Clave del municipio o delegación;Nombre del municipio o delegación;Clave de la localidad;Nombre de localidad;Domicilio;Número exterior;Entre la calle;Y la calle;Calle posterior;Colonia;Nombre de la colonia;Código postal;Página web;Alumnos total (hombres);Alumnos total (mujeres);Alumnos total;Docentes total (hombres);Docentes total (mujeres);Docentes total;Aulas en uso;Aulas existentes;Tipo de localidad U - Urbano, R - Rural;Ubicación de la escuela-localidad al Oeste del Meridiano de Greenwich, expresada en grados, minutos y segundos;Ubicación de la escuela-localidad al norte del Ecuador, expresada en grados, minutos y segundos;Ubicación de la escuela-localidad al Oeste del Meridiano de Greenwich, expresada en grados;Ubicación de la escuela-localidad al norte del Ecuador, expresada en grados
16PJN0583G;1;MATUTINO;INSTITUTO BORZONY;BÁSICA;PREESCOLAR;GENERAL;PRIVADO;PRIVADO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;CALLE HORTENCIA;195;CALZADA LA FUENTE;CALLE JAZMÍN;CALLE JULIO LÓPEZ CHÁVEZ;129;JULIO LÓPEZ CHÁVEZ;56588;;34;41;75;0;5;5;5;5;;102:2:39.76 W;19:24:58.78 N;-102,044377;19,416328
16DJN0697D;2;VESPERTINO;ROSAURA ZAPATA;BÁSICA;PREESCOLAR;GENERAL;PÚBLICO;FEDERAL TRANSFERIDO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;CALLE GARCÍA ORTIZ;3;CALLE PORTAL MERCADO;CALLE DONATO GUERRA;CALLE OCAMPO;54;CENTRO;60000;;45;40;85;1;4;5;5;5;;102:3:47.68 W;19:25:18.61 N;-102,063245;19,421835
16DJN2186Q;1;MATUTINO;NICOLAS LENIN;BÁSICA;PREESCOLAR;GENERAL;PÚBLICO;FEDERAL TRANSFERIDO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;CALLE MANUEL MARTINEZ;0;CALLE ALBERTO PERALTA;CALLE AMADEO BETANCOURT;CALLE GABRIEL CERVERA;116;INFONAVIT CONSTITUYENTES;60155;;89;70;159;0;9;9;9;9;;102:1:43.95 W;19:24:12.10 N;-102,028876;19,403361
16PJN0582H;1;MATUTINO;COLEGIO FLORIDA DE MARIA;BÁSICA;PREESCOLAR;GENERAL;PRIVADO;PRIVADO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;CALLE FRANCISCO I. MADERO;60;CALLE MIGUEL TREVIÑO;CALLE ARTÍCULO 123;AVENIDA EMILIO CARRANZA;54;CENTRO;60000;;13;11;24;0;3;3;3;3;;102:3:59.53 W;19:25:14.98 N;-102,066537;19,420827
16DJN0863L;1;MATUTINO;NATALIO VAZQUEZ PALLARES;BÁSICA;PREESCOLAR;GENERAL;PÚBLICO;FEDERAL TRANSFERIDO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;CALLE RICARDO FLORES MAGON;0;CALLE ADOLFO LOPEZ MATEOS;NINGUNO LIBRAMIENTO ORIENTE;CALLE PASCUAL ORTIZ RUBIO;381;LAZARO CARDENAS;60135;;65;67;132;0;6;6;6;6;;102:1:32.01 W;19:24:51.63 N;-102,025557;19,414341
16PJN0609Y;1;MATUTINO;LETRAS Y GARABATOS;BÁSICA;PREESCOLAR;GENERAL;PRIVADO;PRIVADO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;CALLE CAMELIA;6;CALLE JAZMÍN;CALLE PRIVADA DE CAMELIA;CALLE GALEANA;146;LA MORA;60130;;20;29;49;0;3;3;3;3;;102:2:27.11 W;19:24:57.33 N;-102,040864;19,415926
16DJN0110N;1;MATUTINO;EDUARDO CLAPAREDE;BÁSICA;PREESCOLAR;GENERAL;PÚBLICO;FEDERAL TRANSFERIDO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;CALLE NINGUNO;0;CALLE NINGUNO;AVENIDA CUTZAMALA;CALLE LUXEMBURGO;88;FOVISSSTE;60160;;29;30;59;0;5;5;5;5;;102:2:51.24 W;19:23:41.33 N;-102,047567;19,394815
16DJN0125P;1;MATUTINO;URUAPAN;BÁSICA;PREESCOLAR;GENERAL;PÚBLICO;FEDERAL TRANSFERIDO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;CALLE COSTA RICA;0;CALLE REPÚBLICA DE CHILE;CALLE BOLIVIA;CALLE BELICE;71;EL COLORÍN;60120;;87;99;186;0;9;9;9;9;;102:2:12.44 W;19:25:6.58 N;-102,03679;19,418495
16DJN1754L;1;MATUTINO;BENITO JUAREZ;BÁSICA;PREESCOLAR;GENERAL;PÚBLICO;FEDERAL TRANSFERIDO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;107;SAN MARCOS;NINGUNO NINGUNO;0;NINGUNO NINGUNO;NINGUNO NINGUNO;NINGUNO NINGUNO;2;SAN MARCOS;60227;;10;9;19;0;2;2;2;2;;101:58:39.06 W;19:18:28.30 N;-101,977517;19,307862
16PJN0426Q;1;MATUTINO;INSTITUTO PATRIA Y LIBERTAD;BÁSICA;PREESCOLAR;GENERAL;PRIVADO;PRIVADO;16;MICHOACÁN DE OCAMPO;102;URUAPAN;1;URUAPAN;CALLE SAN MIGUEL;1801;CALLE CAMELINAS;AVENIDA SAN FRANCISCO;CALLE TABACHINES;192;MARIO MORENO REYES;60156;;13;13;26;0;2;2;2;2;;102:1:6.99 W;19:23:28.80 N;-102,018607;19,391332
